period,respondent,respondent-name,fueltype,type-name,value,value-units,total
2022-01-01T08,Category,California,SUN,Solar,-31,megawatthours,17698
2022-01-01T08,CAL,California,WND,Wind,3077,megawatthours,17698
2022-01-01T07,CAL,California,SUN,Solar,-30,megawatthours,18282
2022-01-01T07,CAL,California,WND,Wind,2983,megawatthours,18282
2022-01-01T06,CAL,California,SUN,Solar,-30,megawatthours,19740
2022-01-01T06,CAL,California,WND,Wind,3032,megawatthours,19740
2022-01-01T05,CAL,California,SUN,Solar,-31,megawatthours,21028
2022-01-01T05,CAL,California,WND,Wind,2816,megawatthours,21028
2022-01-01T04,CAL,California,SUN,Solar,-31,megawatthours,22013
2022-01-01T04,CAL,California,WND,Wind,2662,megawatthours,22013
2022-01-01T03,CAL,California,SUN,Solar,-28,megawatthours,22750
2022-01-01T03,CAL,California,WND,Wind,2689,megawatthours,22750
2022-01-01T02,CAL,California,SUN,Solar,-28,megawatthours,23303
2022-01-01T02,CAL,California,WND,Wind,2850,megawatthours,23303
2022-01-01T01,CAL,California,SUN,Solar,34,megawatthours,22215
2022-01-01T01,CAL,California,WND,Wind,3183,megawatthours,22215
2022-01-01T00,CAL,California,SUN,Solar,1859,megawatthours,19754
2022-01-01T00,CAL,California,WND,Wind,3334,megawatthours,19754
2021-12-31T23,CAL,California,SUN,Solar,6462,megawatthours,21662
2021-12-31T23,CAL,California,WND,Wind,3448,megawatthours,21662
2021-12-31T22,CAL,California,SUN,Solar,8743,megawatthours,22545
2021-12-31T22,CAL,California,WND,Wind,3637,megawatthours,22545
2021-12-31T21,CAL,California,SUN,Solar,8187,megawatthours,21863
2021-12-31T21,CAL,California,WND,Wind,3604,megawatthours,21863
2021-12-31T20,CAL,California,SUN,Solar,7756,megawatthours,21503
2021-12-31T20,CAL,California,WND,Wind,3294,megawatthours,21503
2021-12-31T19,CAL,California,SUN,Solar,7222,megawatthours,20361
2021-12-31T19,CAL,California,WND,Wind,2847,megawatthours,20361
2021-12-31T18,CAL,California,SUN,Solar,6009,megawatthours,20659
2021-12-31T18,CAL,California,WND,Wind,2585,megawatthours,20659
2021-12-31T17,CAL,California,SUN,Solar,4163,megawatthours,19700
2021-12-31T17,CAL,California,WND,Wind,2441,megawatthours,19700
2021-12-31T16,CAL,California,SUN,Solar,2405,megawatthours,19691
2021-12-31T16,CAL,California,WND,Wind,2962,megawatthours,19691
2021-12-31T15,CAL,California,SUN,Solar,54,megawatthours,17613
2021-12-31T15,CAL,California,WND,Wind,2942,megawatthours,17613
2021-12-31T14,CAL,California,SUN,Solar,-43,megawatthours,16353
2021-12-31T14,CAL,California,WND,Wind,3153,megawatthours,16353
2021-12-31T13,CAL,California,SUN,Solar,-50,megawatthours,15247
2021-12-31T13,CAL,California,WND,Wind,2231,megawatthours,15247
2021-12-31T12,CAL,California,SUN,Solar,-43,megawatthours,14310
2021-12-31T12,CAL,California,WND,Wind,1664,megawatthours,14310
2021-12-31T11,CAL,California,SUN,Solar,-40,megawatthours,14620
2021-12-31T11,CAL,California,WND,Wind,2005,megawatthours,14620
2021-12-31T10,CAL,California,SUN,Solar,-39,megawatthours,14804
2021-12-31T10,CAL,California,WND,Wind,1606,megawatthours,14804
2021-12-31T09,CAL,California,SUN,Solar,-38,megawatthours,15807
2021-12-31T09,CAL,California,WND,Wind,1382,megawatthours,15807
2021-12-31T08,CAL,California,SUN,Solar,-43,megawatthours,16863
2021-12-31T08,CAL,California,WND,Wind,1342,megawatthours,16863
2021-12-31T07,CAL,California,SUN,Solar,-43,megawatthours,18977
2021-12-31T07,CAL,California,WND,Wind,1376,megawatthours,18977
2021-12-31T06,CAL,California,SUN,Solar,-43,megawatthours,20956
2021-12-31T06,CAL,California,WND,Wind,1275,megawatthours,20956
2021-12-31T05,CAL,California,SUN,Solar,-43,megawatthours,22910
2021-12-31T05,CAL,California,WND,Wind,1134,megawatthours,22910
2021-12-31T04,CAL,California,SUN,Solar,-38,megawatthours,23118
2021-12-31T04,CAL,California,WND,Wind,1030,megawatthours,23118
2021-12-31T03,CAL,California,SUN,Solar,-38,megawatthours,23662
2021-12-31T03,CAL,California,WND,Wind,1070,megawatthours,23662
